domain,industry,note
ocard.co,FinTech,奧理科技 — 餐飲會員/支付
nuwarobotics.com,Robotics,女媧創造 — 服務型機器人
iscoollab.com,SaaS,伊斯酷軟體 — 餐飲 POS / SaaS
jgbsmart.com,PropTech,金箍棒 — 智慧物業管理
frontier.cool,Textile,通用紡織 — 紡織數位化
macromicro.me,FinTech,財經 M 平方 — 總經數據平台
mrliving.com.tw,HomeServices,居家先生 — 居家服務平台
allytransport.com,Logistics,艾立運能 — 物流
deepview.com.tw,DigitalIdentity,數位身分 / Authme
popchill.com,Ecommerce,拍拍圈 — C2C
ucarer.com.tw,HealthTech,優護平台
mdtk.com.tw,HealthTech,承鑒生醫
kabob.io,Creative,串串創意
fiduciaedge.com,CyberSecurity,邊信聯科技 — 邊緣信任安全
newsmart.com.tw,SmartTech,和亞智慧
jenjan.com.tw,Logistics,增站運籌 — 電商物流
unmedesign.co,Creative,川陀數位 / Cake — 設計
dentall.io,DentalTech,牙易通 — 牙醫 SaaS
ganzin.com.tw,XR,見臻科技 — 眼動追蹤 SDK
carpost.tw,AutoTech,車博資訊
fstk.io,Blockchain,邦拓鏈
imedtac.com,MedTech,慧誠智醫
wiadvance.com,CloudInfra,緯謙科技 — 雲端基礎建設
stemcytebio.com,BioTech,永笙生技 — 細胞治療
arcetherapeutics.com,BioTech,承寶生技
biomedica.ai,MedTech,柏瑞醫 — 醫療影像 AI
qtmedical.com,MedTech,宇心生醫 — 心電圖裝置
heroic-faith.com,MedTech,聿信 — 智慧聽診器
faceheart.com,HealthTech,鉅怡智慧 — rPPG 心率
precisionthera.com,BioTech,精準智能生物
cytena-bps.com,BioTech,生德奈
moldintel.com,SmartManufacturing,智穎智能 — 模具智能
yajantech.com.tw,SmartManufacturing,雅匠科技
spingence.com,AI,偲倢科技
deepmentor.ai,AI,滿拓科技
25sprout.com,SaaS,新芽網路 — Web 開發
mile.cloud,CloudInfra,萬里雲互聯
jlead.com.tw,CyberSecurity,中華資安
upascorp.com,CyberSecurity,睿控網安
keyxentic.com,CyberSecurity,關鍵 — 身分認證
bsos.co,Blockchain,灣谷科技 — BSOS
kryptogo.com,Blockchain,重量科技 — KryptoGO
fugle.tw,FinTech,群馥 — Fugle 證券平台
lawsnote.com,LegalTech,七法 — Lawsnote
ohmplus.com,CleanTech,歐姆佳 — 能源
evehicle.com,Semiconductor,奕微科 — 第三代半導體
fastsic.com,Semiconductor,即思創意 — SiC 半導體
ranictek.com.tw,Semiconductor,繁晶科技
touche.solutions,Semiconductor,振生半導體
tronfuture.com,DefenseTech,創未來 — 雷達 / AESA
gofreight.com,Logistics,聖學科技 — Freight 平台
packageplustw.com,Logistics,配客嘉 — 環保物流包裝
datayoo.com.tw,AgTech,悠由數據 — 智慧農業
lypid.co,FoodTech,活優 — 植物性脂肪
pet100pa.com,PetTech,寵物百分百
earthbook.xyz,Sustainability,極現科技 — 碳盤查
digitspark.co,MarTech,震豪數位
ursrobot.ai,Robotics,優式機器人
ihh.tw,IoT,桓竑智聯
insynerger.com,IoT,思納捷 — 智慧能源
myfunnow.com,Lifestyle,FunNow — 即時預訂
racertech.com,AutoTech,奔馳科技
feasun3d.com,Manufacturing,普羅森 — 3D 列印
footprintku.com,IoT,富比酷 — 智慧鞋墊
oen.tw,MarTech,應援科技
cannerdata.com,DataTech,易開科技 — Canner
metaedu.org.tw,EdTech,思哈 — Meta Edu
